experiment_id,experiment,evidence_type,locality,rep,baseline_policy,treatment_policy,workload_trace_hash,baseline_policy_order,treatment_policy_order,delta_ttft_p50_ms,delta_ttft_p95_ms,delta_latency_p95_ms,delta_observed_reuse_hit_rate,status
20260715_paired_latency_high_sketch_k8_rep14,paired_t4_latency_replay_v3,live_t4_vllm,high,14,load_only,sketch_k8,ccb321c98d53f5758d8211d97b5b4aaf4d9994aa620feb9291052fc732995848,3,0,-1.727758999999999,-1.4378150000000005,203.82230900000002,-0.00390625,Current
20260715_paired_latency_high_sketch_k16_rep14,paired_t4_latency_replay_v3,live_t4_vllm,high,14,load_only,sketch_k16,ccb321c98d53f5758d8211d97b5b4aaf4d9994aa620feb9291052fc732995848,3,2,0.35140100000000274,1.9326499999999953,223.713162,0.0234375,Current
20260715_paired_latency_high_exact_rep14,paired_t4_latency_replay_v3,live_t4_vllm,high,14,load_only,exact,ccb321c98d53f5758d8211d97b5b4aaf4d9994aa620feb9291052fc732995848,3,1,-0.553843999999998,-11.406801000000002,-25.05248800000004,0.03515625,Current
20260715_paired_latency_high_sketch_k8_rep15,paired_t4_latency_replay_v3,live_t4_vllm,high,15,load_only,sketch_k8,b1996e94b073d5e8c0e2223ab87d3669f21ce799d07d5f489ed83e2357f1b942,0,1,-1.0245919999999984,3.4311670000000163,252.94330200000002,0.0078125,Current
20260715_paired_latency_high_sketch_k16_rep15,paired_t4_latency_replay_v3,live_t4_vllm,high,15,load_only,sketch_k16,b1996e94b073d5e8c0e2223ab87d3669f21ce799d07d5f489ed83e2357f1b942,0,3,-0.5720030000000023,-1.1825619999999901,222.90558999999996,0.03515625,Current
20260715_paired_latency_high_exact_rep15,paired_t4_latency_replay_v3,live_t4_vllm,high,15,load_only,exact,b1996e94b073d5e8c0e2223ab87d3669f21ce799d07d5f489ed83e2357f1b942,0,2,-1.460515000000001,-9.788571999999988,-15.910775000000058,0.05078125,Current
20260715_paired_latency_high_sketch_k8_rep16,paired_t4_latency_replay_v3,live_t4_vllm,high,16,load_only,sketch_k8,4be7063d0355c24df1018ad7f61f0b5ad0e99772d9df3a1e16f3f23fcd282f03,3,1,0.05794300000000163,0.3248049999999978,222.52327400000001,0.01953125,Current
20260715_paired_latency_high_sketch_k16_rep16,paired_t4_latency_replay_v3,live_t4_vllm,high,16,load_only,sketch_k16,4be7063d0355c24df1018ad7f61f0b5ad0e99772d9df3a1e16f3f23fcd282f03,3,0,1.243268999999998,2.6782510000000173,236.038812,0.02734375,Current
20260715_paired_latency_high_exact_rep16,paired_t4_latency_replay_v3,live_t4_vllm,high,16,load_only,exact,4be7063d0355c24df1018ad7f61f0b5ad0e99772d9df3a1e16f3f23fcd282f03,3,2,-1.638303999999998,-7.904250999999988,-12.684532999999988,0.03125,Current
20260715_paired_latency_high_sketch_k8_rep17,paired_t4_latency_replay_v3,live_t4_vllm,high,17,load_only,sketch_k8,c75ad6d5628f4b8807bee4f91af1cb98ec7f4fe9ed694ea347993e5729fbc307,0,1,-2.1917259999999956,-12.061660000000018,203.59761000000003,0.02734375,Current
20260715_paired_latency_high_sketch_k16_rep17,paired_t4_latency_replay_v3,live_t4_vllm,high,17,load_only,sketch_k16,c75ad6d5628f4b8807bee4f91af1cb98ec7f4fe9ed694ea347993e5729fbc307,0,2,-0.3077699999999979,-5.364186000000018,208.99760300000003,0.03125,Current
20260715_paired_latency_high_exact_rep17,paired_t4_latency_replay_v3,live_t4_vllm,high,17,load_only,exact,c75ad6d5628f4b8807bee4f91af1cb98ec7f4fe9ed694ea347993e5729fbc307,0,3,-1.401995999999997,-23.55691200000001,-44.11023399999999,0.046875,Current
20260715_paired_latency_high_sketch_k8_rep18,paired_t4_latency_replay_v3,live_t4_vllm,high,18,load_only,sketch_k8,07876b1c0d108c9bad12ea8204c1c9bfeb741a5e7a7684c8fd623c45852fb0ac,0,1,-0.38266400000000544,2.8295920000000194,234.017111,0.0078125,Current
20260715_paired_latency_high_sketch_k16_rep18,paired_t4_latency_replay_v3,live_t4_vllm,high,18,load_only,sketch_k16,07876b1c0d108c9bad12ea8204c1c9bfeb741a5e7a7684c8fd623c45852fb0ac,0,3,-0.44551900000000444,14.221823,282.621934,0.046875,Current
20260715_paired_latency_high_exact_rep18,paired_t4_latency_replay_v3,live_t4_vllm,high,18,load_only,exact,07876b1c0d108c9bad12ea8204c1c9bfeb741a5e7a7684c8fd623c45852fb0ac,0,2,-2.0464490000000026,-8.719989999999996,-15.18231000000003,0.04296875,Current
20260715_paired_latency_high_sketch_k8_rep19,paired_t4_latency_replay_v3,live_t4_vllm,high,19,load_only,sketch_k8,7fff33004eeda069c19c90f5d5ad6e53209f31055302a4142504d3a2669efa7c,0,1,-0.9122619999999984,-3.826336000000026,231.68824100000006,0.03125,Current
20260715_paired_latency_high_sketch_k16_rep19,paired_t4_latency_replay_v3,live_t4_vllm,high,19,load_only,sketch_k16,7fff33004eeda069c19c90f5d5ad6e53209f31055302a4142504d3a2669efa7c,0,2,-0.7135719999999992,5.189059999999984,244.33927600000004,0.0546875,Current
20260715_paired_latency_high_exact_rep19,paired_t4_latency_replay_v3,live_t4_vllm,high,19,load_only,exact,7fff33004eeda069c19c90f5d5ad6e53209f31055302a4142504d3a2669efa7c,0,3,0.4754180000000048,0.07158299999997553,8.226578000000018,0.07421875,Current
20260715_paired_latency_low_sketch_k8_rep0,paired_t4_latency_replay_v3,live_t4_vllm,low,0,load_only,sketch_k8,cd769dc40703060c473c28e0a613014edf41a7cea946093907f462d965c11a66,0,2,4.613617000000005,2.9192820000000097,308.445697,0.0234375,Current
