experiment_id,locality,rep,baseline_policy,treatment_policy,workload_trace_hash,status,delta_ttft_p50_ms,delta_ttft_p95_ms,delta_vllm_cached_tokens_total,delta_vllm_cached_token_rate,delta_metric_prefix_cache_hits_delta,delta_mean_selected_coverage_tokens
20260716_fixed_t4_high_sketch_coverage_k16_rep5,high,5,load_only,sketch_coverage_k16,1eb6aaa45ee10ef8a8dc65842cdd3252d0876854b5c19e9030fb46e6cf7bc698,Current,-643.60033,6.8244849999999815,10400.0,0.0,10400.0,640.0
20260716_fixed_t4_high_exact_rep5,high,5,load_only,exact,1eb6aaa45ee10ef8a8dc65842cdd3252d0876854b5c19e9030fb46e6cf7bc698,Current,-642.928743,5.336129000000028,10400.0,0.0,10400.0,640.0
20260716_fixed_t4_high_sketch_coverage_k8_rep6,high,6,load_only,sketch_coverage_k8,c7b9584b7ea033d243df6cac6875c0e396769be0da1a5efcd09588c52b5c7ae7,Current,-3.8985839999999143,-0.19233500000007098,12480.0,0.0,12480.0,768.0
20260716_fixed_t4_high_sketch_coverage_k16_rep6,high,6,load_only,sketch_coverage_k16,c7b9584b7ea033d243df6cac6875c0e396769be0da1a5efcd09588c52b5c7ae7,Current,5.746865000000071,0.7920070000000123,12480.0,0.0,12480.0,768.0
20260716_fixed_t4_high_exact_rep6,high,6,load_only,exact,c7b9584b7ea033d243df6cac6875c0e396769be0da1a5efcd09588c52b5c7ae7,Current,-21.971673999999894,-0.79013400000008,12480.0,0.0,12480.0,768.0
20260716_fixed_t4_high_sketch_coverage_k8_rep7,high,7,load_only,sketch_coverage_k8,3e909e3507797c810301b91793bf868140efff85f58a2266c0bfb6a2a9851997,Current,-660.1339360000001,17.208229999999958,4176.0,0.0,4176.0,256.0
20260716_fixed_t4_high_sketch_coverage_k16_rep7,high,7,load_only,sketch_coverage_k16,3e909e3507797c810301b91793bf868140efff85f58a2266c0bfb6a2a9851997,Current,-658.368213,13.60739000000001,4176.0,0.0,4176.0,256.0
20260716_fixed_t4_high_exact_rep7,high,7,load_only,exact,3e909e3507797c810301b91793bf868140efff85f58a2266c0bfb6a2a9851997,Current,-659.447886,110.40113699999995,4176.0,0.0,4176.0,256.0
20260716_fixed_t4_high_sketch_coverage_k8_rep8,high,8,load_only,sketch_coverage_k8,9829bee88d497eb45919f4ea87a70415c523695de0f9e35967e2d5dcb198fb61,Current,10.410488999999984,-5.900849999999991,6176.0,0.0,6176.0,384.0
20260716_fixed_t4_high_sketch_coverage_k16_rep8,high,8,load_only,sketch_coverage_k16,9829bee88d497eb45919f4ea87a70415c523695de0f9e35967e2d5dcb198fb61,Current,4.567868999999973,12.579682000000048,6176.0,0.0,6176.0,384.0
20260716_fixed_t4_high_exact_rep8,high,8,load_only,exact,9829bee88d497eb45919f4ea87a70415c523695de0f9e35967e2d5dcb198fb61,Current,7.709813000000054,17.542452000000026,6176.0,0.0,6176.0,384.0
20260716_fixed_t4_high_sketch_coverage_k8_rep9,high,9,load_only,sketch_coverage_k8,20788e0bb347fc45970c643ea79c1695d55e8d4d6666c7e52b30686e216121b0,Current,-678.411817,-36.31667100000004,6192.0,0.0,10352.0,384.0
20260716_fixed_t4_high_sketch_coverage_k16_rep9,high,9,load_only,sketch_coverage_k16,20788e0bb347fc45970c643ea79c1695d55e8d4d6666c7e52b30686e216121b0,Current,-677.8783579999999,-64.69919200000004,6192.0,0.0,10352.0,384.0
20260716_fixed_t4_high_exact_rep9,high,9,load_only,exact,20788e0bb347fc45970c643ea79c1695d55e8d4d6666c7e52b30686e216121b0,Current,-658.710129,-7.428124000000025,6192.0,0.0,10352.0,384.0
20260716_fixed_t4_high_sketch_coverage_k8_rep10,high,10,load_only,sketch_coverage_k8,b8a91ee1910cdfc245e2aad06ba2cbc9fcf7fc43cd4a5d75dce7597c5df166a5,Current,-691.000343,-15.437144000000103,4160.0,0.0,6240.0,256.0
20260716_fixed_t4_high_sketch_coverage_k16_rep10,high,10,load_only,sketch_coverage_k16,b8a91ee1910cdfc245e2aad06ba2cbc9fcf7fc43cd4a5d75dce7597c5df166a5,Current,-694.594845,-30.834220000000073,4160.0,0.0,6240.0,256.0
20260716_fixed_t4_high_exact_rep10,high,10,load_only,exact,b8a91ee1910cdfc245e2aad06ba2cbc9fcf7fc43cd4a5d75dce7597c5df166a5,Current,-706.304739,-8.79723700000011,4160.0,0.0,6240.0,256.0
20260716_fixed_t4_high_sketch_coverage_k8_rep11,high,11,load_only,sketch_coverage_k8,1d4e50f503fceee6f14af1794e5070b3892331137aae587e04750d647bc5041c,Current,-643.1262039999999,-59.52536000000009,10368.0,0.0,10368.0,640.0
20260716_fixed_t4_high_sketch_coverage_k16_rep11,high,11,load_only,sketch_coverage_k16,1d4e50f503fceee6f14af1794e5070b3892331137aae587e04750d647bc5041c,Current,-588.5586989999999,-28.705986000000053,10368.0,0.0,10368.0,640.0
20260716_fixed_t4_high_exact_rep11,high,11,load_only,exact,1d4e50f503fceee6f14af1794e5070b3892331137aae587e04750d647bc5041c,Current,-639.8140169999999,-52.16893500000003,10368.0,0.0,10368.0,640.0
20260716_fixed_t4_high_sketch_coverage_k8_rep12,high,12,load_only,sketch_coverage_k8,95de58e3515b305868aa27495a742a66f2134d65cb956ef5d273b9f69c92b2a0,Current,-661.585334,58.28423699999996,8320.0,0.0,12480.0,512.0
20260716_fixed_t4_high_sketch_coverage_k16_rep12,high,12,load_only,sketch_coverage_k16,95de58e3515b305868aa27495a742a66f2134d65cb956ef5d273b9f69c92b2a0,Current,-641.8554320000001,66.27702999999997,8320.0,0.0,12480.0,512.0
20260716_fixed_t4_high_exact_rep12,high,12,load_only,exact,95de58e3515b305868aa27495a742a66f2134d65cb956ef5d273b9f69c92b2a0,Current,-655.083492,98.32676800000002,8320.0,0.0,12480.0,512.0
20260716_fixed_t4_high_sketch_coverage_k8_rep13,high,13,load_only,sketch_coverage_k8,a968005546cae25ef3448e07a5456348410c86936dc1de93e6c9dfd6948def94,Current,-681.869184,-89.59436900000003,10384.0,0.0,12464.0,640.0
20260716_fixed_t4_high_sketch_coverage_k16_rep13,high,13,load_only,sketch_coverage_k16,a968005546cae25ef3448e07a5456348410c86936dc1de93e6c9dfd6948def94,Current,-676.481485,-118.92661500000008,10384.0,0.0,12464.0,640.0
20260716_fixed_t4_high_exact_rep13,high,13,load_only,exact,a968005546cae25ef3448e07a5456348410c86936dc1de93e6c9dfd6948def94,Current,-683.268881,-42.03652700000009,10384.0,0.0,12464.0,640.0
20260716_fixed_t4_high_sketch_coverage_k8_rep14,high,14,load_only,sketch_coverage_k8,536df866e63bdf0779350f8f317b4c7d3c45e94f2098e352bab087be539d1ce1,Current,-20.049963000000048,-44.28120899999999,14512.0,0.0,14512.0,896.0
20260716_fixed_t4_high_sketch_coverage_k16_rep14,high,14,load_only,sketch_coverage_k16,536df866e63bdf0779350f8f317b4c7d3c45e94f2098e352bab087be539d1ce1,Current,-13.174114000000031,-68.54019800000003,14512.0,0.0,14512.0,896.0
20260716_fixed_t4_high_exact_rep14,high,14,load_only,exact,536df866e63bdf0779350f8f317b4c7d3c45e94f2098e352bab087be539d1ce1,Current,2.299678999999969,-30.973203000000012,14512.0,0.0,14512.0,896.0
20260716_fixed_t4_high_sketch_coverage_k8_rep15,high,15,load_only,sketch_coverage_k8,af1980838fa61afef001d26ab009764208ebba23241ff6ad7a1f17c32173b7ba,Current,-50.12484299999994,-2.5964400000000296,6224.0,0.0,8304.0,384.0
20260716_fixed_t4_high_sketch_coverage_k16_rep15,high,15,load_only,sketch_coverage_k16,af1980838fa61afef001d26ab009764208ebba23241ff6ad7a1f17c32173b7ba,Current,-22.700373000000013,-29.09125400000005,6224.0,0.0,8304.0,384.0
20260716_fixed_t4_high_exact_rep15,high,15,load_only,exact,af1980838fa61afef001d26ab009764208ebba23241ff6ad7a1f17c32173b7ba,Current,-33.57166799999993,-53.10817600000007,6224.0,0.0,8304.0,384.0
20260716_fixed_t4_high_sketch_coverage_k8_rep16,high,16,load_only,sketch_coverage_k8,74046951ae6799738109e6bb7a5ac51bb94741124b8391fb3c0344f0191f0de7,Current,-0.9967079999999982,-17.494129000000044,4176.0,0.0,6256.0,256.0
20260716_fixed_t4_high_sketch_coverage_k16_rep16,high,16,load_only,sketch_coverage_k16,74046951ae6799738109e6bb7a5ac51bb94741124b8391fb3c0344f0191f0de7,Current,-1.7435609999999997,29.922684000000004,4176.0,0.0,6256.0,256.0
20260716_fixed_t4_high_exact_rep16,high,16,load_only,exact,74046951ae6799738109e6bb7a5ac51bb94741124b8391fb3c0344f0191f0de7,Current,-13.014513000000008,-12.044089999999983,4176.0,0.0,6256.0,256.0
20260716_fixed_t4_high_sketch_coverage_k8_rep17,high,17,load_only,sketch_coverage_k8,8e7943fd9bf4a90e1457f5d6bcb616711cf22d3b3cda72b0ffc2b688c9c7b69c,Current,-700.95996,2.5579629999999725,10368.0,0.0,12448.0,640.0
20260716_fixed_t4_high_sketch_coverage_k16_rep17,high,17,load_only,sketch_coverage_k16,8e7943fd9bf4a90e1457f5d6bcb616711cf22d3b3cda72b0ffc2b688c9c7b69c,Current,-704.175621,-49.36298700000009,10368.0,0.0,12448.0,640.0
20260716_fixed_t4_high_exact_rep17,high,17,load_only,exact,8e7943fd9bf4a90e1457f5d6bcb616711cf22d3b3cda72b0ffc2b688c9c7b69c,Current,-707.152502,-54.465822,10368.0,0.0,12448.0,640.0
20260716_fixed_t4_high_sketch_coverage_k8_rep18,high,18,load_only,sketch_coverage_k8,59cc361d01945ddc0360335badc15ccffc1d2bb53a0cd1d19f2fbcde7d1fa061,Current,-1.1440190000000001,20.77630899999997,4176.0,0.0,8336.0,256.0
20260716_fixed_t4_high_sketch_coverage_k16_rep18,high,18,load_only,sketch_coverage_k16,59cc361d01945ddc0360335badc15ccffc1d2bb53a0cd1d19f2fbcde7d1fa061,Current,12.772715999999988,30.384609999999952,4176.0,0.0,8336.0,256.0
20260716_fixed_t4_high_exact_rep18,high,18,load_only,exact,59cc361d01945ddc0360335badc15ccffc1d2bb53a0cd1d19f2fbcde7d1fa061,Current,9.110782999999998,18.911863999999923,4176.0,0.0,8336.0,256.0
20260716_fixed_t4_high_sketch_coverage_k8_rep19,high,19,load_only,sketch_coverage_k8,82c1f3f50b487fdf1e2b96d91e903a4cdb84768b9d8b5c48984b4eec03625218,Current,2.059871000000001,-744.184937,12432.0,0.0,14512.0,768.0
20260716_fixed_t4_high_sketch_coverage_k16_rep19,high,19,load_only,sketch_coverage_k16,82c1f3f50b487fdf1e2b96d91e903a4cdb84768b9d8b5c48984b4eec03625218,Current,-0.9450379999999967,-708.203589,12432.0,0.0,14512.0,768.0
20260716_fixed_t4_high_exact_rep19,high,19,load_only,exact,82c1f3f50b487fdf1e2b96d91e903a4cdb84768b9d8b5c48984b4eec03625218,Current,-2.1785580000000095,-752.917115,12432.0,0.0,14512.0,768.0
