prefix_length_tokens,prefix_length_actual_tokens,repetition,condition,order,ttft_ms,prompt_tokens,cached_tokens,generated_tokens,total_request_latency_ms,timestamp_utc,request_id,server_request_id
1024,1024,4,hit,hit_then_miss,55.278734,1065,1040,1,55.320385,2026-07-25T13:13:26.162525+00:00,pcache-09f85829afd8454480e68963d42bd895,chatcmpl-1f35af212f80479990b618ad4d32ade2
1024,1024,4,miss,hit_then_miss,328.440943,1065,0,1,328.536948,2026-07-25T13:13:26.491114+00:00,pcache-3e1bb49c130048149d21abcf396737ae,chatcmpl-a2891050c6104e6f869e260a98ec1d72
1024,1024,5,miss,miss_then_hit,464.363686,1065,0,1,464.457211,2026-07-25T13:13:30.139474+00:00,pcache-42f4689183a0490fb794cca47893335a,chatcmpl-b9dfbc5882ce45f1ab44a0d33ddce38c
1024,1024,5,hit,miss_then_hit,54.313431,1065,1040,1,54.36398,2026-07-25T13:13:30.545167+00:00,pcache-1ba7d85cb4bd472698e4530ce14138e0,chatcmpl-decb9df1912a4a64a69dfa738d24d2d6
1024,1024,6,hit,hit_then_miss,55.298848,1065,1040,1,55.331696,2026-07-25T13:13:34.217564+00:00,pcache-f91fe068cc6f4cad99aab368cff7196b,chatcmpl-482e758f758f4a98b1c58b9aafb9b53b
1024,1024,6,miss,hit_then_miss,317.720636,1065,0,1,317.81208,2026-07-25T13:13:34.535423+00:00,pcache-0408582645ee4ce98b51482cc2ef85ab,chatcmpl-30aa46a0bf8249eb88493cf3fc607ffd
1024,1024,7,miss,miss_then_hit,445.034738,1065,0,1,445.13057,2026-07-25T13:13:38.161586+00:00,pcache-fd0a3712446b4331879b5c482eb79c29,chatcmpl-1b3fab1a12f142b7954be71e8f252d5c
1024,1024,7,hit,miss_then_hit,54.100905,1065,1040,1,54.190214,2026-07-25T13:13:38.567898+00:00,pcache-ce943b14db5e4192941343aab5b83881,chatcmpl-6c7e55eae6ae4232833c8e8db3701581
1024,1024,8,hit,hit_then_miss,53.388402,1065,1040,1,53.48139,2026-07-25T13:13:42.258857+00:00,pcache-09463274de5d40bcabee487bf4270a97,chatcmpl-c772770feb1c4316a6b36683b4e76b55
1024,1024,8,miss,hit_then_miss,322.07334,1065,0,1,322.164927,2026-07-25T13:13:42.581075+00:00,pcache-7a9efb3421d443158bf5aebc8e4eeccc,chatcmpl-56aad2277018466d8b9f77d1645456e5
1024,1024,9,miss,miss_then_hit,449.923081,1065,0,1,450.017908,2026-07-25T13:13:46.217195+00:00,pcache-f9fcf4eae04b4519b0ab47c3bdeb2ed3,chatcmpl-2949c72ac9f947e48996dc78c6f750eb
1024,1024,9,hit,miss_then_hit,56.087691,1065,1040,1,56.132436,2026-07-25T13:13:46.623299+00:00,pcache-71dacf6ab889436cba54c3f45e98b869,chatcmpl-70051ff2b1d34364be2715ee885b2e9b
1024,1024,10,hit,hit_then_miss,54.628567,1065,1040,1,54.740328,2026-07-25T13:13:50.348885+00:00,pcache-d6f62722abc24bc28c932119dfd5760f,chatcmpl-5628df39acf94514a505e4c6bc2dd4cb
1024,1024,10,miss,hit_then_miss,337.149009,1065,0,1,337.221331,2026-07-25T13:13:50.686190+00:00,pcache-b94ab9cbf4a040d2bcea4b39a86d5199,chatcmpl-44de47077aef41e4a1a09d56f050a0f5
1024,1024,11,hit,hit_then_miss,53.282607,1065,1040,1,53.370762,2026-07-25T13:13:54.362128+00:00,pcache-30dee43af223472c93ed3c897d9623f3,chatcmpl-70f4664b92734be5bb05df5b8108438a
1024,1024,11,miss,hit_then_miss,307.421289,1065,0,1,307.51235,2026-07-25T13:13:54.669736+00:00,pcache-7116bbc351c742798b01f2cffdb4b065,chatcmpl-33b7695e755f4acd8fc5d82b63127952
1024,1024,12,hit,hit_then_miss,52.795365,1065,1040,1,52.827472,2026-07-25T13:13:58.316671+00:00,pcache-e79c2b6beddd433f8230d294f3d7e2ce,chatcmpl-7d1598c3488048e79809915fe2255cae
1024,1024,12,miss,hit_then_miss,331.021761,1065,0,1,331.137203,2026-07-25T13:13:58.647850+00:00,pcache-104b07fea05c44a5b8a09797692cba81,chatcmpl-8223d84f77f74eff969a0c473fc3f837
1024,1024,13,miss,miss_then_hit,405.106727,1065,0,1,405.201358,2026-07-25T13:14:02.212947+00:00,pcache-7f76d48adeb54bff98cc6c6f04a7dafa,chatcmpl-3db0dc83ed214e6d80c754e928f55f2c
1024,1024,13,hit,miss_then_hit,51.677444,1065,1040,1,51.746541,2026-07-25T13:14:02.572000+00:00,pcache-deeada7a6d084e07bb90b3ab4b70c737,chatcmpl-ad9b506ab4d2497f8b439187d6e0b052
1024,1024,14,miss,miss_then_hit,438.159587,1065,0,1,438.257597,2026-07-25T13:14:06.180957+00:00,pcache-69c31c130ca84ee0a0a29656fb5d6758,chatcmpl-94698d40d3a14fa88fe564a93c5e4f79
1024,1024,14,hit,miss_then_hit,52.169785,1065,1040,1,52.258275,2026-07-25T13:14:06.566318+00:00,pcache-9fa913bdbe72447da0466962ae42b7fd,chatcmpl-1560e6bf5bb84619a38eda4e8491e0d1
2048,2048,0,miss,miss_then_hit,947.363345,2089,0,1,947.461381,2026-07-25T13:14:19.945105+00:00,pcache-782b4d805c024ad5a9dfcc4100338d0e,chatcmpl-fa5261607d5d4fe2b6942d4a5c2e9f3c
2048,2048,0,hit,miss_then_hit,66.965178,2089,2064,1,67.074269,2026-07-25T13:14:20.847833+00:00,pcache-76edafbe79a7408db8c274fee8b97800,chatcmpl-698a447ba4764caca1948e6065e6672f
2048,2048,1,hit,hit_then_miss,64.873241,2089,2064,1,64.945202,2026-07-25T13:14:34.284812+00:00,pcache-cc65c80f2c86439b9745d73ea43fccbf,chatcmpl-0a589ba8bc3a47f18ea5b7edd83dccb1
2048,2048,1,miss,hit_then_miss,785.142257,2089,0,1,785.19178,2026-07-25T13:14:35.070083+00:00,pcache-ba2901267f3e4247ba2edb5fa4860d17,chatcmpl-561bfbc6c2f0423c8b9db18768021850
2048,2048,2,miss,miss_then_hit,899.181722,2089,0,1,899.22288,2026-07-25T13:14:48.301959+00:00,pcache-27756694542b411ba0d06a46670fea9d,chatcmpl-d461f7e0438e41b9a30cdc9b400d884f
2048,2048,2,hit,miss_then_hit,67.002371,2089,2064,1,67.039389,2026-07-25T13:14:49.129971+00:00,pcache-2406c18bb4434b4b8b0a04422ba58520,chatcmpl-930219c0cb52445a935611fe065cb074
2048,2048,3,miss,miss_then_hit,873.701212,2089,0,1,873.741254,2026-07-25T13:15:02.295353+00:00,pcache-d68c9c8e7dc44f8ea75f541b08789b9f,chatcmpl-a2cca01b24ad4aec978105606dc3caee
2048,2048,3,hit,miss_then_hit,64.658774,2089,2064,1,64.695838,2026-07-25T13:15:03.068666+00:00,pcache-e70c85d264fa415092c7ea0f5aef4595,chatcmpl-2961befe3b0a4207b4d954a09c1fe3a9
2048,2048,4,miss,miss_then_hit,877.16269,2089,0,1,877.200172,2026-07-25T13:15:16.253595+00:00,pcache-b3c1c07bcdd04ff1a040f31fdb58c51b,chatcmpl-d3bed65764944fad98ffc027037bee19
2048,2048,4,hit,miss_then_hit,65.492517,2089,2064,1,65.529543,2026-07-25T13:15:17.086278+00:00,pcache-103082024d4b4cc9af1263a048887ad9,chatcmpl-7d21db07786840e297d519ea222d2f42
2048,2048,5,hit,hit_then_miss,64.939828,2089,2064,1,64.977041,2026-07-25T13:15:30.273378+00:00,pcache-7f8df573863b41d994d138f405395202,chatcmpl-e39ec85c73a743a4a50344b8b4a73d0f
