workload,baseline,rho,n_pairs,delta_state_age_s_baseline_minus_adaptive_mean,delta_state_age_s_baseline_minus_adaptive_std,delta_state_age_s_baseline_minus_adaptive_ci95,delta_p95_state_age_s_baseline_minus_adaptive_mean,delta_p95_state_age_s_baseline_minus_adaptive_std,delta_p95_state_age_s_baseline_minus_adaptive_ci95,delta_view_missing_baseline_minus_adaptive_mean,delta_view_missing_baseline_minus_adaptive_std,delta_view_missing_baseline_minus_adaptive_ci95,delta_cached_tokens_adaptive_minus_baseline_mean,delta_cached_tokens_adaptive_minus_baseline_std,delta_cached_tokens_adaptive_minus_baseline_ci95,delta_ttft_ms_baseline_minus_adaptive_mean,delta_ttft_ms_baseline_minus_adaptive_std,delta_ttft_ms_baseline_minus_adaptive_ci95,delta_p95_ttft_ms_baseline_minus_adaptive_mean,delta_p95_ttft_ms_baseline_minus_adaptive_std,delta_p95_ttft_ms_baseline_minus_adaptive_ci95,delta_forwarded_bytes_baseline_minus_adaptive_mean,delta_forwarded_bytes_baseline_minus_adaptive_std,delta_forwarded_bytes_baseline_minus_adaptive_ci95
original_compatible,LatestOnly,1.0,5,6.269020144346373,10.987639929979446,13.640769758586558,3.9324203014373778,15.189119566491742,18.856759428095263,0.05208333333333333,0.12103072956898178,0.15025540755660008,32.3666666666666,90.75565485901635,112.66996371475608,27.305505120833324,226.0931573025166,280.68672821546414,225.04552860000004,478.3669859810849,593.875842078963,1955.2,937.154843128925,1163.4448821340184
original_compatible,LatestOnly,1.2,5,9.876636772183502,5.7004582148048,7.076919021930589,8.003418207168579,10.366304081734238,12.869403086336604,0.15833333333333333,0.04796193513842224,0.059543060982041485,48.9666666666667,72.75056318987815,90.3172736460874,-77.97301371041661,170.69915852922364,211.91702079064783,-162.45842500000003,574.4161591023694,713.1175231314395,2017.6,647.8123184997334,804.2362818352326
original_compatible,RateFIFO,0.5,5,16.266306517803308,7.636044988076409,9.479882141419425,36.308262300491336,17.370993702935333,21.56547967440002,0.1875,0.07254368894366729,0.09006044652219851,184.33333333333334,65.07741116888754,80.79132442423646,258.1341746541666,168.3304917918969,208.97640407908827,772.0268844,184.65546258209594,229.24328297973062,-8195.2,186.0408557279825,230.96319999999994
original_compatible,RateFIFO,0.8,5,6.4912889912869245,6.267591140409863,7.78099466601722,15.436701583862305,7.9056686234590225,9.814610432040995,0.08125,0.0766881763304415,0.09520568231174252,61.23333333333335,70.12395770665292,87.05643502454156,217.19267532916666,56.82164588092147,70.54208125721117,744.4283527999999,313.884903738925,389.6771035348981,-5491.2,1407.654503065294,1747.5537147482016
original_compatible,RateFIFO,1.0,5,-1.3438519062816763,4.983767470501639,6.1871725892617,7.022717761993408,8.79569969733084,10.919552806749454,-0.008333333333333342,0.06964381104352825,0.08646034977568233,-10.733333333333395,53.13486509711769,65.96507216856853,120.98559254166665,180.83085421910533,224.49516578360982,515.0996716,457.0495052166592,567.4109370771869,-3182.4,846.818044210207,1051.2949133845173
original_compatible,RateFIFO,1.2,5,-5.4368690250284395,3.4727364551210145,4.311280558740009,4.999696445465088,7.326357525116182,9.095416013453658,-0.06874999999999999,0.07604880103518326,0.0944119202984689,-49.23333333333335,109.03571025637021,135.36401161208084,94.25840480000006,179.86455407994097,223.29553803824956,291.34349199999997,408.67219273328317,507.3521996840549,-2100.8,655.282534484172,813.510293082417
original_compatible,StaticSemantic,0.5,5,-0.7083659101577148,0.4371427225177489,0.5426973642662368,-2.867600154876709,1.3269839426093508,1.6474040421626244,0.0,0.0,0.0,0.0,0.0,0.0,-85.90788574374997,63.73225672965009,79.12136234754753,-191.73203820000003,235.73533508109088,292.65715388349355,-41.6,271.1988200564302,336.6838271698835
original_compatible,StaticSemantic,0.8,5,-0.07907486006959381,3.6430428128617773,4.522709931122943,-5.920038938522339,13.964942311780995,17.33698628467018,-0.02291666666666666,0.04382434159992214,0.05440638366343909,-32.76666666666665,52.4026345817757,65.05603365496209,9.651739439583343,102.39336880461504,127.11777757285917,-111.75476399999998,288.44483088109723,358.09414498267466,603.2,979.4790452071959,1215.988895174557
original_compatible,StaticSemantic,1.0,5,10.341712047542224,4.4920916861577505,5.576774340607043,8.002181911468506,9.356369076269342,11.615604184254337,0.1333333333333333,0.06438140475151019,0.07992725685827638,40.09999999999995,39.052066384365446,48.48177129400739,15.003702725000016,28.819969343081542,35.77898154323972,296.97738400000014,250.11190122797908,310.5051567283737,769.6,507.36653417425947,629.8777644687578
original_compatible,StaticSemantic,1.2,5,7.960758013758662,6.403644572569001,7.949900232160189,4.854444217681885,15.089682023574293,18.73331120473334,0.11458333333333334,0.04885849749816073,0.06065611171917377,49.9666666666667,73.83346501116927,91.6616582918822,-39.44063188749992,200.78775875460673,249.27096309747168,-151.68640799999997,388.5943432351331,482.4262534392611,1393.6,491.1179084496919,609.7056652905235
reuse_intensive,AgeCov-Greedy,0.5,5,10.73127018007862,21.67836663922804,26.91293216308434,-15.669040060043335,39.04596641149766,48.474198391550324,-0.00625,0.05781015385629837,0.07176927925264712,46.9,74.43328481861386,92.40631355380674,7.705990433333318,97.2843544363418,120.77511535103149,1731.7380371999998,2183.4491669149043,2710.675591416068,7092.8,557.1527618167212,691.6856206368902
reuse_intensive,AgeCov-Greedy,0.8,5,63.457602099190105,23.654787369371117,29.366589208435812,32.12520198822021,14.108319255181456,17.51498373326506,0.2520833333333333,0.0734356530500607,0.09116778868901254,177.0333333333333,100.85863318967243,125.21245711303827,120.71880539374993,137.08843237157262,170.19048262074642,143.8694586000003,527.7102834364473,655.1338159484534,5408.0,3625.858243230146,4501.375890397246
reuse_intensive,AgeCov-Greedy,1.0,5,46.84532377584033,26.749216109606255,33.20821400219437,25.2441367149353,25.660991647073082,31.857221483903462,0.22499999999999998,0.11305802959345945,0.14035758005101745,189.8666666666667,119.54964101437807,148.41668804138342,183.27877280208335,160.50595853007735,199.2625203540068,46.787989999999446,512.2605168475989,635.9534723800981,2620.8,1739.3203270243237,2159.305207356996
