workload,policy,rho,n_runs,upserts_generated_mean,source_upserts_sent_mean,source_tombstones_sent_mean,net_msgs_sent_mean,net_msgs_delivered_mean,net_wire_bytes_sent_mean,relay_forwarded_mean,relay_drop_rate_limit_mean,relay_drop_superseded_mean,relay_drop_duplicate_holder_mean,relay_drop_low_utility_mean,relay_drop_queue_drop_mean,relay_drop_expired_mean,forwarded_bytes_per_request,forwarded_frames_per_request
original_compatible,FullSync,1.0,5,120.0,120.0,0.0,120.0,115.4,12480.0,116.2,0.0,0.0,0.0,0.0,0.0,0.0,125.88333333333334,1.2104166666666667
original_compatible,FullSync,1.2,5,120.0,120.0,0.0,120.0,84.8,12480.0,88.8,0.0,0.0,0.0,0.0,0.0,0.0,96.2,0.925
original_compatible,LatestOnly,0.5,5,120.0,120.0,0.0,120.0,114.0,12480.0,114.0,0.0,6.0,0.0,0.0,0.0,0.0,123.5,1.1875
original_compatible,LatestOnly,0.8,5,120.0,120.0,0.0,120.0,87.0,12480.0,87.0,0.0,33.0,0.0,0.0,0.0,0.0,94.25,0.90625
original_compatible,LatestOnly,1.0,5,120.0,120.0,0.0,120.0,79.4,12480.0,79.4,0.0,40.6,0.0,0.0,0.0,0.0,86.01666666666667,0.8270833333333333
original_compatible,LatestOnly,1.2,5,120.0,120.0,0.0,120.0,68.8,12480.0,69.6,0.0,50.4,0.0,0.0,0.0,0.0,75.4,0.725
original_compatible,RateFIFO,0.5,5,120.0,120.0,0.0,120.0,30.0,12480.0,30.0,90.0,0.0,0.0,0.0,0.0,0.0,32.5,0.3125
original_compatible,RateFIFO,0.8,5,120.0,120.0,0.0,120.0,30.0,12480.0,30.0,90.0,0.0,0.0,0.0,0.0,0.0,32.5,0.3125
original_compatible,RateFIFO,1.0,5,120.0,120.0,0.0,120.0,30.0,12480.0,30.0,90.0,0.0,0.0,0.0,0.0,0.0,32.5,0.3125
original_compatible,RateFIFO,1.2,5,120.0,120.0,0.0,120.0,30.0,12480.0,30.0,90.0,0.0,0.0,0.0,0.0,0.0,32.5,0.3125
original_compatible,StaticSemantic,0.5,5,120.0,120.0,0.0,120.0,108.4,12480.0,108.4,0.0,8.6,3.0,0.0,0.0,0.0,117.43333333333334,1.1291666666666667
original_compatible,StaticSemantic,0.8,5,120.0,120.0,0.0,120.0,88.6,12480.0,88.6,0.0,25.2,6.2,0.0,0.0,0.0,95.98333333333333,0.9229166666666667
original_compatible,StaticSemantic,1.0,5,120.0,120.0,0.0,120.0,68.0,12480.0,68.0,0.0,37.4,14.6,0.0,0.0,0.0,73.66666666666667,0.7083333333333334
original_compatible,StaticSemantic,1.2,5,120.0,120.0,0.0,120.0,63.6,12480.0,63.6,0.0,40.4,16.0,0.0,0.0,0.0,68.9,0.6625
reuse_intensive,Adaptive,0.5,5,184.0,184.0,0.0,184.0,115.8,19136.0,115.8,0.0,7.4,31.8,29.0,0.0,0.0,125.45,1.20625
reuse_intensive,Adaptive,0.8,5,184.0,184.0,0.0,184.0,90.0,19136.0,90.0,0.0,9.0,30.6,54.4,0.0,0.0,97.5,0.9375
reuse_intensive,Adaptive,1.0,5,184.0,184.0,0.0,184.0,68.8,19136.0,70.0,0.0,10.6,29.4,73.4,0.0,0.0,75.83333333333333,0.7291666666666666
reuse_intensive,Adaptive,1.2,5,184.0,184.0,0.0,184.0,59.6,19136.0,61.4,0.0,11.2,28.2,83.2,0.0,0.0,66.51666666666667,0.6395833333333333
reuse_intensive,AgeCov-Greedy,0.5,5,184.0,184.0,0.0,184.0,184.0,19136.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,199.33333333333334,1.9166666666666667
reuse_intensive,AgeCov-Greedy,0.8,5,184.0,184.0,0.0,184.0,138.8,19136.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,153.83333333333334,1.4791666666666667
reuse_intensive,AgeCov-Greedy,1.0,5,184.0,184.0,0.0,184.0,91.2,19136.0,95.2,0.0,0.0,0.0,0.0,0.0,0.0,103.13333333333334,0.9916666666666667
reuse_intensive,AgeCov-Greedy,1.2,5,184.0,184.0,0.0,184.0,65.0,19136.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,74.75,0.71875
reuse_intensive,FullSync,0.5,5,184.0,184.0,0.0,184.0,184.0,19136.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,199.33333333333334,1.9166666666666667
