workload,rep,rho,baseline,adaptive_experiment_id,baseline_experiment_id,trace_hash,delta_state_age_s_baseline_minus_adaptive,delta_p95_state_age_s_baseline_minus_adaptive,delta_view_missing_baseline_minus_adaptive,delta_cached_tokens_adaptive_minus_baseline,delta_ttft_ms_baseline_minus_adaptive,delta_p95_ttft_ms_baseline_minus_adaptive,delta_forwarded_bytes_baseline_minus_adaptive
original_compatible,1,0.5,AgeCov-Greedy,20260726_formal4t4_original_compatible_Adaptive@rho0.5_rep1,20260726_formal4t4_original_compatible_AgeCov-Greedy@rho0.5_rep1,6dc158631113df819fc4f1ff3673d7dd7beddf14243bd3a36abfcaf842ef1192,-0.33249602247686916,-2.050539970397949,0.0,-5.5,-80.86567382291673,-171.397062,1144.0
original_compatible,1,0.5,StaticSemantic,20260726_formal4t4_original_compatible_Adaptive@rho0.5_rep1,20260726_formal4t4_original_compatible_StaticSemantic@rho0.5_rep1,6dc158631113df819fc4f1ff3673d7dd7beddf14243bd3a36abfcaf842ef1192,-0.6568709121030922,-3.0471436977386475,0.0,0.0,-143.37069474999998,-418.19400799999994,-104.0
original_compatible,1,0.8,FullSync,20260726_formal4t4_original_compatible_Adaptive@rho0.8_rep1,20260726_formal4t4_original_compatible_FullSync@rho0.8_rep1,6dc158631113df819fc4f1ff3673d7dd7beddf14243bd3a36abfcaf842ef1192,20.323404171887567,17.768336296081543,0.32291666666666663,149.83333333333348,32.012009197916655,149.76380100000006,2912.0
original_compatible,1,0.8,RateFIFO,20260726_formal4t4_original_compatible_Adaptive@rho0.8_rep1,20260726_formal4t4_original_compatible_RateFIFO@rho0.8_rep1,6dc158631113df819fc4f1ff3673d7dd7beddf14243bd3a36abfcaf842ef1192,10.621917661498575,25.45149540901184,0.14583333333333334,160.5,301.98268854166656,1013.206506,-6448.0
original_compatible,1,0.8,LatestOnly,20260726_formal4t4_original_compatible_Adaptive@rho0.8_rep1,20260726_formal4t4_original_compatible_LatestOnly@rho0.8_rep1,6dc158631113df819fc4f1ff3673d7dd7beddf14243bd3a36abfcaf842ef1192,11.301248329527237,12.152191400527954,0.0625,58.66666666666674,278.39543090625,560.138723,-1248.0
original_compatible,1,0.8,AgeCov-Greedy,20260726_formal4t4_original_compatible_Adaptive@rho0.8_rep1,20260726_formal4t4_original_compatible_AgeCov-Greedy@rho0.8_rep1,6dc158631113df819fc4f1ff3673d7dd7beddf14243bd3a36abfcaf842ef1192,6.326363451340619,5.477066993713379,0.08333333333333334,69.16666666666674,83.76819138541657,35.85413800000015,2912.0
original_compatible,1,0.8,StaticSemantic,20260726_formal4t4_original_compatible_Adaptive@rho0.8_rep1,20260726_formal4t4_original_compatible_StaticSemantic@rho0.8_rep1,6dc158631113df819fc4f1ff3673d7dd7beddf14243bd3a36abfcaf842ef1192,-0.22612033521427755,-2.6856021881103516,0.0,-0.33333333333325754,38.33000652083331,-150.70150200000012,0.0
original_compatible,1,1.0,FullSync,20260726_formal4t4_original_compatible_Adaptive@rho1.0_rep1,20260726_formal4t4_original_compatible_FullSync@rho1.0_rep1,6dc158631113df819fc4f1ff3673d7dd7beddf14243bd3a36abfcaf842ef1192,11.230834627852722,5.262741804122925,0.20833333333333331,11.333333333333258,-87.7441279166668,-142.02208800000017,6552.0
original_compatible,1,1.0,RateFIFO,20260726_formal4t4_original_compatible_Adaptive@rho1.0_rep1,20260726_formal4t4_original_compatible_RateFIFO@rho1.0_rep1,6dc158631113df819fc4f1ff3673d7dd7beddf14243bd3a36abfcaf842ef1192,-4.810550850980423,-0.19208264350891113,0.020833333333333315,37.666666666666515,-21.226232302083417,-116.31835600000022,-2808.0
original_compatible,1,1.0,LatestOnly,20260726_formal4t4_original_compatible_Adaptive@rho1.0_rep1,20260726_formal4t4_original_compatible_LatestOnly@rho1.0_rep1,6dc158631113df819fc4f1ff3673d7dd7beddf14243bd3a36abfcaf842ef1192,-7.711752754800461,-15.54358434677124,-0.07291666666666669,-32.833333333333485,-136.94730598958347,-289.489638,3016.0
original_compatible,1,1.0,AgeCov-Greedy,20260726_formal4t4_original_compatible_Adaptive@rho1.0_rep1,20260726_formal4t4_original_compatible_AgeCov-Greedy@rho1.0_rep1,6dc158631113df819fc4f1ff3673d7dd7beddf14243bd3a36abfcaf842ef1192,9.921874779112201,2.9846584796905518,0.20833333333333331,16.833333333333258,-63.64011087500012,-213.02769399999988,6552.0
original_compatible,1,1.0,StaticSemantic,20260726_formal4t4_original_compatible_Adaptive@rho1.0_rep1,20260726_formal4t4_original_compatible_StaticSemantic@rho1.0_rep1,6dc158631113df819fc4f1ff3673d7dd7beddf14243bd3a36abfcaf842ef1192,8.171072037780988,4.282279968261719,0.13541666666666663,16.833333333333258,36.154759874999854,482.6196110000001,1040.0
original_compatible,1,1.2,FullSync,20260726_formal4t4_original_compatible_Adaptive@rho1.2_rep1,20260726_formal4t4_original_compatible_FullSync@rho1.2_rep1,6dc158631113df819fc4f1ff3673d7dd7beddf14243bd3a36abfcaf842ef1192,9.102577938753015,9.76181936264038,0.125,86.16666666666674,38.868802291666725,115.58561999999984,3952.0
original_compatible,1,1.2,RateFIFO,20260726_formal4t4_original_compatible_Adaptive@rho1.2_rep1,20260726_formal4t4_original_compatible_RateFIFO@rho1.2_rep1,6dc158631113df819fc4f1ff3673d7dd7beddf14243bd3a36abfcaf842ef1192,-1.8670867085456848,15.750856399536133,-0.0625,112.5,323.9042135625001,810.3904069999999,-2184.0
original_compatible,1,1.2,LatestOnly,20260726_formal4t4_original_compatible_Adaptive@rho1.2_rep1,20260726_formal4t4_original_compatible_LatestOnly@rho1.2_rep1,6dc158631113df819fc4f1ff3673d7dd7beddf14243bd3a36abfcaf842ef1192,5.741587579250336,5.57647442817688,0.11458333333333331,155.83333333333348,34.956604458333345,-143.4969920000001,1976.0
original_compatible,1,1.2,AgeCov-Greedy,20260726_formal4t4_original_compatible_Adaptive@rho1.2_rep1,20260726_formal4t4_original_compatible_AgeCov-Greedy@rho1.2_rep1,6dc158631113df819fc4f1ff3673d7dd7beddf14243bd3a36abfcaf842ef1192,13.67870479471543,15.82956862449646,0.14583333333333331,171.16666666666674,178.89324945833334,174.20513299999993,3848.0
original_compatible,1,1.2,StaticSemantic,20260726_formal4t4_original_compatible_Adaptive@rho1.2_rep1,20260726_formal4t4_original_compatible_StaticSemantic@rho1.2_rep1,6dc158631113df819fc4f1ff3673d7dd7beddf14243bd3a36abfcaf842ef1192,5.007630151860855,6.513945579528809,0.07291666666666669,75.0,66.49904520833343,261.6655780000001,1768.0
original_compatible,2,0.5,FullSync,20260726_formal4t4_original_compatible_Adaptive@rho0.5_rep2,20260726_formal4t4_original_compatible_FullSync@rho0.5_rep2,a685c3f0ab78d1068ee9cbe6cffd2bc563027888a0774d532029d6a8fdc0ced8,0.5608521280154388,-0.5218002796173096,0.0,-5.0,-62.46448727083339,-212.71965599999976,1352.0
original_compatible,2,0.5,RateFIFO,20260726_formal4t4_original_compatible_Adaptive@rho0.5_rep2,20260726_formal4t4_original_compatible_RateFIFO@rho0.5_rep2,a685c3f0ab78d1068ee9cbe6cffd2bc563027888a0774d532029d6a8fdc0ced8,9.857540536934223,19.484983682632446,0.11458333333333333,107.5,15.565774666666584,497.30717400000003,-8008.0
