experiment_id,experiment,evidence_type,code_commit,source_dataset,source_url,source_license,source_file_sha256,source_raw_text_retained,policy_family,interface,K,admission,routing_guard,guard_tokens,J,rep,repetitions,seed,workload_trace_hash,request_count_total,warmup_request_count,cache_capacity,metric_scope,status,request_count,affinity_selected_rate,saved_prefill_tokens_total,incremental_saved_prefill_tokens_total,native_counterfactual_incremental_tokens_total,raw_candidate_fanout_p95,evaluated_candidate_fanout_p95,dispatcher_index_bytes
20260716_cross_p2c_sketch_coverage_k8_rep2,cross_policy_interface_v4,trace_derived_simulation,b192742a0f3d59d468c641b941c3d797d257df1d,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,250313ae096b0bb8c1986b6f571b68f4ff7617a12026db20214ad84188d12ae5,False,p2c,sketch_coverage,8,coverage_first,net_benefit_coverage_threshold,512,4,2,10,20260716,b9766e5b953fd351056d6002d64b72ad0952ccfd6b9f4edf0912b81f8cd5fb54,512,128,128,paired trace-derived replay; P2C/DualMap policy adaptation; no live vLLM latency,Current,384,0.08333333333333333,208685.0,110381.0,44355.0,1.0,1.0,2432
20260716_cross_p2c_sketch_coverage_k16_rep2,cross_policy_interface_v4,trace_derived_simulation,b192742a0f3d59d468c641b941c3d797d257df1d,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,250313ae096b0bb8c1986b6f571b68f4ff7617a12026db20214ad84188d12ae5,False,p2c,sketch_coverage,16,coverage_first,net_benefit_coverage_threshold,512,4,2,10,20260716,b9766e5b953fd351056d6002d64b72ad0952ccfd6b9f4edf0912b81f8cd5fb54,512,128,128,paired trace-derived replay; P2C/DualMap policy adaptation; no live vLLM latency,Current,384,0.14322916666666666,235099.0,136795.0,39571.0,1.0,1.0,4480
20260716_cross_p2c_sketch_coverage_k32_rep2,cross_policy_interface_v4,trace_derived_simulation,b192742a0f3d59d468c641b941c3d797d257df1d,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,250313ae096b0bb8c1986b6f571b68f4ff7617a12026db20214ad84188d12ae5,False,p2c,sketch_coverage,32,coverage_first,net_benefit_coverage_threshold,512,4,2,10,20260716,b9766e5b953fd351056d6002d64b72ad0952ccfd6b9f4edf0912b81f8cd5fb54,512,128,128,paired trace-derived replay; P2C/DualMap policy adaptation; no live vLLM latency,Current,384,0.171875,246147.0,147843.0,53516.0,2.0,2.0,8576
20260716_cross_p2c_exact_kinf_rep2,cross_policy_interface_v4,trace_derived_simulation,b192742a0f3d59d468c641b941c3d797d257df1d,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,250313ae096b0bb8c1986b6f571b68f4ff7617a12026db20214ad84188d12ae5,False,p2c,exact,inf,n/a,net_benefit_coverage_threshold,512,4,2,10,20260716,b9766e5b953fd351056d6002d64b72ad0952ccfd6b9f4edf0912b81f8cd5fb54,512,128,128,paired trace-derived replay; P2C/DualMap policy adaptation; no live vLLM latency,Current,384,0.17447916666666666,243962.0,145658.0,42408.0,4.0,4.0,33152
20260716_cross_dualmap_load_only_kinf_rep2,cross_policy_interface_v4,trace_derived_simulation,b192742a0f3d59d468c641b941c3d797d257df1d,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,250313ae096b0bb8c1986b6f571b68f4ff7617a12026db20214ad84188d12ae5,False,dualmap,load_only,inf,n/a,net_benefit_coverage_threshold,512,4,2,10,20260716,b9766e5b953fd351056d6002d64b72ad0952ccfd6b9f4edf0912b81f8cd5fb54,512,128,128,paired trace-derived replay; P2C/DualMap policy adaptation; no live vLLM latency,Current,384,0.0,194660.0,96356.0,96356.0,0.0,0.0,384
20260716_cross_dualmap_sketch_coverage_k8_rep2,cross_policy_interface_v4,trace_derived_simulation,b192742a0f3d59d468c641b941c3d797d257df1d,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,250313ae096b0bb8c1986b6f571b68f4ff7617a12026db20214ad84188d12ae5,False,dualmap,sketch_coverage,8,coverage_first,net_benefit_coverage_threshold,512,4,2,10,20260716,b9766e5b953fd351056d6002d64b72ad0952ccfd6b9f4edf0912b81f8cd5fb54,512,128,128,paired trace-derived replay; P2C/DualMap policy adaptation; no live vLLM latency,Current,384,0.08854166666666667,228331.0,130027.0,80669.0,1.0,1.0,2432
20260716_cross_dualmap_sketch_coverage_k16_rep2,cross_policy_interface_v4,trace_derived_simulation,b192742a0f3d59d468c641b941c3d797d257df1d,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,250313ae096b0bb8c1986b6f571b68f4ff7617a12026db20214ad84188d12ae5,False,dualmap,sketch_coverage,16,coverage_first,net_benefit_coverage_threshold,512,4,2,10,20260716,b9766e5b953fd351056d6002d64b72ad0952ccfd6b9f4edf0912b81f8cd5fb54,512,128,128,paired trace-derived replay; P2C/DualMap policy adaptation; no live vLLM latency,Current,384,0.13541666666666666,241941.0,143637.0,87394.0,1.0,1.0,4480
20260716_cross_dualmap_sketch_coverage_k32_rep2,cross_policy_interface_v4,trace_derived_simulation,b192742a0f3d59d468c641b941c3d797d257df1d,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,250313ae096b0bb8c1986b6f571b68f4ff7617a12026db20214ad84188d12ae5,False,dualmap,sketch_coverage,32,coverage_first,net_benefit_coverage_threshold,512,4,2,10,20260716,b9766e5b953fd351056d6002d64b72ad0952ccfd6b9f4edf0912b81f8cd5fb54,512,128,128,paired trace-derived replay; P2C/DualMap policy adaptation; no live vLLM latency,Current,384,0.171875,250118.0,151814.0,80194.0,2.0,2.0,8576
20260716_cross_dualmap_exact_kinf_rep2,cross_policy_interface_v4,trace_derived_simulation,b192742a0f3d59d468c641b941c3d797d257df1d,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,250313ae096b0bb8c1986b6f571b68f4ff7617a12026db20214ad84188d12ae5,False,dualmap,exact,inf,n/a,net_benefit_coverage_threshold,512,4,2,10,20260716,b9766e5b953fd351056d6002d64b72ad0952ccfd6b9f4edf0912b81f8cd5fb54,512,128,128,paired trace-derived replay; P2C/DualMap policy adaptation; no live vLLM latency,Current,384,0.17708333333333334,254425.0,156121.0,156121.0,4.0,4.0,30848
20260716_cross_p2c_load_only_kinf_rep3,cross_policy_interface_v4,trace_derived_simulation,b192742a0f3d59d468c641b941c3d797d257df1d,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,250313ae096b0bb8c1986b6f571b68f4ff7617a12026db20214ad84188d12ae5,False,p2c,load_only,inf,n/a,net_benefit_coverage_threshold,512,4,3,10,20260716,b21b07dbbd3dfe45bbc8c04dc48b58a8c3f928f7611d506bddbe035ea605f00a,512,128,128,paired trace-derived replay; P2C/DualMap policy adaptation; no live vLLM latency,Current,384,0.0,171242.0,72938.0,72938.0,0.0,0.0,384
20260716_cross_p2c_sketch_coverage_k8_rep3,cross_policy_interface_v4,trace_derived_simulation,b192742a0f3d59d468c641b941c3d797d257df1d,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,250313ae096b0bb8c1986b6f571b68f4ff7617a12026db20214ad84188d12ae5,False,p2c,sketch_coverage,8,coverage_first,net_benefit_coverage_threshold,512,4,3,10,20260716,b21b07dbbd3dfe45bbc8c04dc48b58a8c3f928f7611d506bddbe035ea605f00a,512,128,128,paired trace-derived replay; P2C/DualMap policy adaptation; no live vLLM latency,Current,384,0.1171875,237635.0,139331.0,71156.0,1.0,1.0,2432
20260716_cross_p2c_sketch_coverage_k16_rep3,cross_policy_interface_v4,trace_derived_simulation,b192742a0f3d59d468c641b941c3d797d257df1d,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,250313ae096b0bb8c1986b6f571b68f4ff7617a12026db20214ad84188d12ae5,False,p2c,sketch_coverage,16,coverage_first,net_benefit_coverage_threshold,512,4,3,10,20260716,b21b07dbbd3dfe45bbc8c04dc48b58a8c3f928f7611d506bddbe035ea605f00a,512,128,128,paired trace-derived replay; P2C/DualMap policy adaptation; no live vLLM latency,Current,384,0.14583333333333334,250693.0,152389.0,46967.0,1.0,1.0,4480
20260716_cross_p2c_sketch_coverage_k32_rep3,cross_policy_interface_v4,trace_derived_simulation,b192742a0f3d59d468c641b941c3d797d257df1d,pagarsky/agent-trace: nl2bash_1_7B_20260403T211347Z,https://huggingface.co/datasets/pagarsky/agent-trace,Apache-2.0,250313ae096b0bb8c1986b6f571b68f4ff7617a12026db20214ad84188d12ae5,False,p2c,sketch_coverage,32,coverage_first,net_benefit_coverage_threshold,512,4,3,10,20260716,b21b07dbbd3dfe45bbc8c04dc48b58a8c3f928f7611d506bddbe035ea605f00a,512,128,128,paired trace-derived replay; P2C/DualMap policy adaptation; no live vLLM latency,Current,384,0.1796875,261196.0,162892.0,39536.0,1.0,1.0,8576
