experiment_id,rep,baseline_policy,treatment_policy,workload_trace_hash,status,exact_normalized_estimated_saved_prefill,exact_normalized_physical_cached_tokens,delta_mean_ttft_ms,treatment_mean_ttft_ms,delta_ttft_p50_ms,treatment_ttft_p50_ms,delta_ttft_p95_ms,treatment_ttft_p95_ms,delta_dispatcher_index_bytes,treatment_dispatcher_index_bytes,delta_estimated_saved_prefill_tokens_total,treatment_estimated_saved_prefill_tokens_total,delta_physical_cached_tokens_total,treatment_physical_cached_tokens_total,delta_mean_selected_coverage_tokens,treatment_mean_selected_coverage_tokens
20260716_live_k_sketch_coverage_k8_rep5,5,load_only,sketch_coverage_k8,1c0debfe4d4e49d005ccc7df42deb50ae3ae60a326c292716bca1af5bb499a0f,Current,0.6,0.6076283383975691,-48.41221820312501,980.14622890625,-44.45767899999987,1334.83335,-1.7294979999999214,1756.570427,2048.0,2432,21504.0,102144.0,24720.0,121584.0,192.0,912.0
20260716_live_k_sketch_coverage_k16_rep5,5,load_only,sketch_coverage_k16,1c0debfe4d4e49d005ccc7df42deb50ae3ae60a326c292716bca1af5bb499a0f,Current,0.968421052631579,0.9690548536702382,-364.49613956250005,664.062307546875,-1147.8856839999999,231.405345,-48.948720000000094,1709.351205,4096.0,4480,84224.0,164864.0,97040.0,193904.0,752.0,1472.0
20260716_live_k_sketch_coverage_k32_rep5,5,load_only,sketch_coverage_k32,1c0debfe4d4e49d005ccc7df42deb50ae3ae60a326c292716bca1af5bb499a0f,Current,1.0,1.0,-382.04602127343753,646.5124258359375,-1163.0437769999999,216.247252,-58.991788999999926,1699.308136,4992.0,5376,89600.0,170240.0,103232.0,200096.0,800.0,1520.0
20260716_live_k_exact_rep5,5,load_only,exact,1c0debfe4d4e49d005ccc7df42deb50ae3ae60a326c292716bca1af5bb499a0f,Current,1.0,1.0,-398.42422687500004,630.134220234375,-1167.721508,211.569521,-144.31638599999997,1613.983539,4992.0,5376,89600.0,170240.0,103232.0,200096.0,800.0,1520.0
20260716_live_k_sketch_coverage_k4_rep6,6,load_only,sketch_coverage_k4,ea85293947ab6e38fa9510fed95e0a7f0dcf1514033aad64da6bf46f661ac266,Current,0.5555555555555556,0.5647882571283955,46.805732382812494,1059.4505758828125,21.24866700000007,1442.793911,-3.6102370000000974,1802.864055,1024.0,1408,5376.0,89600.0,6112.0,107120.0,48.0,800.0
20260716_live_k_sketch_coverage_k8_rep6,6,load_only,sketch_coverage_k8,ea85293947ab6e38fa9510fed95e0a7f0dcf1514033aad64da6bf46f661ac266,Current,0.6777777777777778,0.6842416062088746,-68.376072953125,944.268770546875,-102.69056699999987,1318.854677,-4.703945000000203,1801.770347,2048.0,2432,25088.0,109312.0,28768.0,129776.0,224.0,976.0
20260716_live_k_sketch_coverage_k16_rep6,6,load_only,sketch_coverage_k16,ea85293947ab6e38fa9510fed95e0a7f0dcf1514033aad64da6bf46f661ac266,Current,0.9555555555555556,0.9563016703222541,-305.8103486484375,706.8344948515625,-1183.0448,238.500444,26.726032999999916,1833.200325,4096.0,4480,69888.0,154112.0,80368.0,181376.0,624.0,1376.0
20260716_live_k_sketch_coverage_k32_rep6,6,load_only,sketch_coverage_k32,ea85293947ab6e38fa9510fed95e0a7f0dcf1514033aad64da6bf46f661ac266,Current,1.0,1.0,-345.3018293125,667.3430141875,-1180.970709,240.574535,-10.58346500000016,1795.890827,5056.0,5440,77056.0,161280.0,88656.0,189664.0,688.0,1440.0
20260716_live_k_exact_rep6,6,load_only,exact,ea85293947ab6e38fa9510fed95e0a7f0dcf1514033aad64da6bf46f661ac266,Current,1.0,1.0,-325.458919953125,687.185923546875,-1164.062081,257.483163,151.689617,1958.163909,5056.0,5440,77056.0,161280.0,88656.0,189664.0,688.0,1440.0
20260716_live_k_sketch_coverage_k4_rep7,7,load_only,sketch_coverage_k4,7a6ea71a43897df26c67ee8548c46438d88df3aba5d2456f406d0d596ad58311,Current,0.4731182795698925,0.48362329494404965,72.15213471093762,1135.3656635703126,24.08503900000005,1497.838195,36.86035500000003,1858.028166,1024.0,1408,-3584.0,78848.0,-4176.0,94736.0,-32.0,704.0
20260716_live_k_sketch_coverage_k8_rep7,7,load_only,sketch_coverage_k8,7a6ea71a43897df26c67ee8548c46438d88df3aba5d2456f406d0d596ad58311,Current,0.6559139784946236,0.6623376623376623,-93.7743353359374,969.4391935234376,-82.95750599999997,1390.79565,15.34971100000007,1836.517522,2048.0,2432,26880.0,109312.0,30832.0,129744.0,240.0,976.0
