experiment,evidence_type,baseline,rate_budget_Bps,transport_capacity_Bps,churn_events_per_inst_s,n_reps,status,update_delay_p95_ms_mean,update_delay_p95_ms_ci95_low,update_delay_p95_ms_ci95_high,queue_length_max_mean,queue_length_max_ci95_low,queue_length_max_ci95_high,coalescing_ratio_mean,coalescing_ratio_ci95_low,coalescing_ratio_ci95_high,dropped_or_expired_updates_mean,dropped_or_expired_updates_ci95_low,dropped_or_expired_updates_ci95_high,stale_lookup_rate_mean,stale_lookup_rate_ci95_low,stale_lookup_rate_ci95_high,fallback_rate_mean,fallback_rate_ci95_low,fallback_rate_ci95_high,saved_prefill_ms_total_mean,saved_prefill_ms_total_ci95_low,saved_prefill_ms_total_ci95_high,ttft_p95_ms_model_mean,ttft_p95_ms_model_ci95_low,ttft_p95_ms_model_ci95_high
budget_freshness_quality_v3,control_plane_simulation,event_driven_token_bucket,1024,1024,0.1,20,Current,0.0,0.0,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667e-05,0.0,4.9999999999999996e-05,1.6666666666666667e-05,0.0,4.9999999999999996e-05,539991.0,539973.0,540000.0,80.00075,80.0,80.00225
budget_freshness_quality_v3,control_plane_simulation,event_driven_token_bucket,1024,1024,1.0,20,Current,0.0,0.0,0.0,0.05,0.0,0.15,0.0004098360655737705,0.0,0.0012295081967213116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540000.0,540000.0,540000.0,80.0,80.0,80.0
budget_freshness_quality_v3,control_plane_simulation,event_driven_token_bucket,1024,1024,5.0,20,Current,0.0,0.0,0.0,0.25,0.05,0.55,0.001171675089167671,0.000660540013840464,0.0016839307074208647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540000.0,540000.0,540000.0,80.0,80.0,80.0
budget_freshness_quality_v3,control_plane_simulation,event_driven_token_bucket,4096,4096,0.01,20,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540000.0,540000.0,540000.0,80.0,80.0,80.0
budget_freshness_quality_v3,control_plane_simulation,event_driven_token_bucket,4096,4096,0.1,20,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540000.0,540000.0,540000.0,80.0,80.0,80.0
budget_freshness_quality_v3,control_plane_simulation,event_driven_token_bucket,4096,4096,1.0,20,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.000505050505050505,0.0,0.0015151515151515154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540000.0,540000.0,540000.0,80.0,80.0,80.0
budget_freshness_quality_v3,control_plane_simulation,event_driven_token_bucket,4096,4096,5.0,20,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0014675593477867187,0.0007436562987375751,0.002278042696859652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540000.0,540000.0,540000.0,80.0,80.0,80.0
budget_freshness_quality_v3,control_plane_simulation,periodic_delta,64,64,0.01,20,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000125,1.6666666666666667e-05,0.00025833333333333334,0.000125,3.3333333333333335e-05,0.00025,539932.5,539865.0,539991.0,80.005625,80.0015,80.01125
budget_freshness_quality_v3,control_plane_simulation,periodic_delta,64,64,0.1,20,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016583333333333333,0.0010916666666666668,0.0023333333333333335,0.0016583333333333333,0.0010916666666666668,0.002341666666666667,539104.5,538762.5,539406.0,80.074625,80.0495,80.104625
budget_freshness_quality_v3,control_plane_simulation,periodic_delta,64,64,1.0,20,Current,743.0000000000003,493.00000000000017,1036.0000000000011,1.65,1.25,2.05,0.0,0.0,0.0,0.031482883591136275,0.018364979248411354,0.04692987898410704,0.05655,0.02985,0.08755,0.05655,0.030725,0.08565833333333334,509463.0,493456.5,522666.0,82.54475,81.452375,83.887625
budget_freshness_quality_v3,control_plane_simulation,periodic_delta,64,64,5.0,20,Current,2000.0,2000.0,2000.0,3.0,3.0,3.0,0.0,0.0,0.0,0.7066812066413398,0.7030149097954403,0.7106206390116535,0.8052833333333334,0.7830666666666667,0.8270333333333334,0.8052833333333334,0.7846,0.8260000000000001,105147.0,94378.5,116410.5,116.23775,115.274,117.258875
budget_freshness_quality_v3,control_plane_simulation,periodic_delta,256,256,0.01,20,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020833333333333335,4.1666666666666665e-05,0.00045000000000000004,0.00020833333333333335,4.9999999999999996e-05,0.0004666666666666667,539887.5,539743.5,539977.5,80.009375,80.00225,80.020625
budget_freshness_quality_v3,control_plane_simulation,periodic_delta,256,256,0.1,20,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015833333333333333,0.001,0.0021666666666666666,0.0015833333333333333,0.0010416666666666667,0.0022166666666666667,539145.0,538816.5,539455.5,80.07124999999999,80.04537499999999,80.099
budget_freshness_quality_v3,control_plane_simulation,periodic_delta,256,256,1.0,20,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015333333333333332,0.012983333333333333,0.017833333333333333,0.015333333333333332,0.013066666666666666,0.0177,531720.0,530361.0,532930.5,80.69,80.584625,80.795
budget_freshness_quality_v3,control_plane_simulation,periodic_delta,256,256,5.0,20,Current,1920.000000000003,1872.0000000000032,1956.0000000000036,3.0,3.0,3.0,0.0,0.0,0.0,0.12209089310838514,0.11118271825957217,0.13459875039620886,0.2871666666666667,0.266725,0.30943333333333334,0.2871666666666667,0.26774166666666666,0.30914166666666665,384930.0,372973.5,395919.0,92.9225,91.941125,93.850625
