cell_id,policy,workload,view,freq_hz,rep,ttft_p50,ttft_p95,ttft_p99,workflow_completion_p50,workflow_completion_p95,workflow_completion_p99,cache_hit_rate,same_instance_step_ratio,n_total_requests,n_failed_requests
coarse_bursty_sketch_f10_r2,coarse,bursty,sketch,10.0,2,68.6309,111.9611,137.3436,11227.3175,11877.5206,12411.061,0.8776,0.3889,96,0
rich_agentic_sketch_f10_r2,rich,agentic,sketch,10.0,2,64.0305,168.9848,270.5848,16815.8115,18048.5655,18048.5655,0.7152,0.6875,64,0
coarse_agentic_coarse_f10_r2,coarse,agentic,coarse,10.0,2,84.0495,259.2887,271.7364,12041.5409,16011.7802,16011.7802,0.4601,0.25,64,0
rich_chatbot_rich_f10_r1,rich,chatbot,rich,10.0,1,114.4797,296.1895,549.7074,3236.9629,7832.5415,16117.6278,0.9603,0,600,0
sketch_chatbot_sketch_f10_r2,sketch,chatbot,sketch,10.0,2,120.5894,288.2308,631.2367,3078.3007,9162.8141,20006.5875,0.9606,0,600,0
sketch_agentic_sketch_f50_r2,sketch,agentic,sketch,50.0,2,78.6755,158.0746,277.1211,12823.4853,13898.3479,13898.3479,0.7873,0.1667,64,0
rich_agentic_rich_f1_r1,rich,agentic,rich,1.0,1,93.2768,263.2693,288.6224,13114.9404,14368.5058,14368.5058,0.5642,0.2917,64,0
round-robin_agentic_none_f50_r2,round-robin,agentic,none,50.0,2,79.5527,186.8458,240.7544,11350.2925,15817.822,15817.822,0.3022,0.2083,64,0
sketch_agentic_sketch_f1_r2,sketch,agentic,sketch,1.0,2,83.652,262.9687,366.6363,12846.9714,17518.5691,17518.5691,0.7253,0.5,64,0
rich_mixed_sketch_f10_r2,rich,mixed,sketch,10.0,2,67.6671,163.7386,263.112,10884.4671,13100.8844,13154.4375,0.8528,0.3889,96,0
coarse_agentic_sketch_f10_r2,coarse,agentic,sketch,10.0,2,72.8785,226.1868,258.736,16469.5185,19552.9796,19552.9796,0.7289,0.5,64,0
coarse_mixed_sketch_f10_r2,coarse,mixed,sketch,10.0,2,64.5718,140.015,182.9831,11362.0472,12878.7419,13893.5205,0.8415,0.3194,96,0
coarse_chatbot_coarse_f10_r1,coarse,chatbot,coarse,10.0,1,118.3052,343.2647,470.0254,2652.1228,8213.7927,13602.3277,0.9587,0,600,0
rich_agentic_rich_f50_r1,rich,agentic,rich,50.0,1,84.6894,282.4319,294.3204,12230.2367,16147.9306,16147.9306,0.5939,0.4792,64,0
