cell_id,workload,state_view,freq_hz,rep,ttft_p50,ttft_p95,ttft_p99,tpot_p50,tpot_p95,tpot_p99,request_latency_p50,request_latency_p95,request_latency_p99,dispatch_decision_p50,dispatch_decision_p95,dispatch_decision_p99,workflow_completion_p50,workflow_completion_p95,workflow_completion_p99,success_rate,failure_rate,n_total
chatbot_coarse_f1_r1,chatbot,coarse,1,1,5188.5,11853.4,13230.1,0.002,0.010,0.015,5188.6,11853.4,13230.2,51.73,62.11,75.52,0.0,0.0,0.0,1.000,0.000,600
chatbot_coarse_f1_r2,chatbot,coarse,1,2,5188.5,11853.4,13230.1,0.002,0.010,0.015,5188.6,11853.4,13230.2,51.73,62.11,75.52,0.0,0.0,0.0,1.000,0.000,600
chatbot_coarse_f50_r1,chatbot,coarse,50,1,5478.2,12587.7,14391.1,0.002,0.010,0.016,5478.3,12587.8,14391.2,53.24,65.08,79.32,0.0,0.0,0.0,1.000,0.000,600
chatbot_coarse_f50_r2,chatbot,coarse,50,2,5478.2,12587.7,14391.1,0.002,0.010,0.016,5478.3,12587.8,14391.2,53.24,65.08,79.32,0.0,0.0,0.0,1.000,0.000,600
chatbot_none_f10_r1,chatbot,none,10,1,4147.9,17088.3,28117.9,0.002,0.010,0.015,4148.0,17088.4,28118.0,14.72,16.46,22.82,0.0,0.0,0.0,1.000,0.000,600
chatbot_none_f10_r2,chatbot,none,10,2,4147.9,17088.3,28117.9,0.002,0.010,0.015,4148.0,17088.4,28118.0,14.72,16.46,22.82,0.0,0.0,0.0,1.000,0.000,600
chatbot_none_f1_r1,chatbot,none,1,1,4396.2,10472.6,11706.6,0.002,0.010,0.013,4396.3,10472.7,11706.7,14.97,18.15,34.13,0.0,0.0,0.0,1.000,0.000,600
chatbot_none_f1_r2,chatbot,none,1,2,4396.2,10472.6,11706.6,0.002,0.010,0.013,4396.3,10472.7,11706.7,14.97,18.15,34.13,0.0,0.0,0.0,1.000,0.000,600
chatbot_none_f50_r1,chatbot,none,50,1,5489.9,14008.0,17322.8,0.002,0.010,0.015,5490.0,14008.2,17322.9,15.23,16.59,26.42,0.0,0.0,0.0,1.000,0.000,600
chatbot_none_f50_r2,chatbot,none,50,2,5489.9,14008.0,17322.8,0.002,0.010,0.015,5490.0,14008.2,17322.9,15.23,16.59,26.42,0.0,0.0,0.0,1.000,0.000,600
chatbot_rich_f10_r1,chatbot,rich,10,1,5609.2,13392.6,15536.2,0.002,0.011,0.028,5609.3,13392.7,15536.4,39.90,58.30,60.70,0.0,0.0,0.0,1.000,0.000,600
chatbot_rich_f10_r2,chatbot,rich,10,2,5609.2,13392.6,15536.2,0.002,0.011,0.028,5609.3,13392.7,15536.4,39.90,58.30,60.70,0.0,0.0,0.0,1.000,0.000,600
chatbot_rich_f1_r1,chatbot,rich,1,1,4995.9,12431.6,13844.2,0.002,0.011,0.025,4996.0,12431.7,13844.3,37.60,46.83,60.67,0.0,0.0,0.0,1.000,0.000,600
chatbot_rich_f1_r2,chatbot,rich,1,2,4995.9,12431.6,13844.2,0.002,0.011,0.025,4996.0,12431.7,13844.3,37.60,46.83,60.67,0.0,0.0,0.0,1.000,0.000,600
chatbot_rich_f50_r1,chatbot,rich,50,1,5597.4,13499.1,16648.7,0.002,0.011,0.015,5597.5,13499.1,16648.8,39.87,47.46,54.43,0.0,0.0,0.0,1.000,0.000,600
chatbot_rich_f50_r2,chatbot,rich,50,2,5597.4,13499.1,16648.7,0.002,0.011,0.015,5597.5,13499.1,16648.8,39.87,47.46,54.43,0.0,0.0,0.0,1.000,0.000,600
chatbot_sketch_f10_r1,chatbot,sketch,10,1,6302.5,14214.4,16060.4,0.002,0.012,0.031,6302.6,14214.5,16060.6,41.51,51.88,65.31,0.0,0.0,0.0,1.000,0.000,600
chatbot_sketch_f10_r2,chatbot,sketch,10,2,6302.5,14214.4,16060.4,0.002,0.012,0.031,6302.6,14214.5,16060.6,41.51,51.88,65.31,0.0,0.0,0.0,1.000,0.000,600
chatbot_sketch_f1_r1,chatbot,sketch,1,1,5826.6,14409.4,16524.5,0.002,0.011,0.015,5826.7,14409.5,16524.6,37.56,44.38,61.24,0.0,0.0,0.0,1.000,0.000,600
chatbot_sketch_f1_r2,chatbot,sketch,1,2,5826.6,14409.4,16524.5,0.002,0.011,0.015,5826.7,14409.5,16524.6,37.56,44.38,61.24,0.0,0.0,0.0,1.000,0.000,600
chatbot_sketch_f50_r1,chatbot,sketch,50,1,5470.7,12968.2,14929.8,0.002,0.011,0.017,5470.8,12968.3,14929.9,39.97,52.39,60.68,0.0,0.0,0.0,1.000,0.000,600
chatbot_sketch_f50_r2,chatbot,sketch,50,2,5470.7,12968.2,14929.8,0.002,0.011,0.017,5470.8,12968.3,14929.9,39.97,52.39,60.68,0.0,0.0,0.0,1.000,0.000,600
