experiment,evidence_type,coverage_tokens,affinity_queue_ms,policy,n_reps,status,ttft_p50_ms_mean,ttft_p50_ms_ci95_low,ttft_p50_ms_ci95_high,ttft_p95_ms_mean,ttft_p95_ms_ci95_low,ttft_p95_ms_ci95_high,saved_prefill_ms_total_mean,saved_prefill_ms_total_ci95_low,saved_prefill_ms_total_ci95_high,affinity_selected_rate_mean,affinity_selected_rate_ci95_low,affinity_selected_rate_ci95_high,harmful_diversion_rate_mean,harmful_diversion_rate_ci95_low,harmful_diversion_rate_ci95_high,abstention_rate_mean,abstention_rate_ci95_low,abstention_rate_ci95_high
net_benefit_conflict_v4,dispatcher_level_simulation,256,50.0,sketch_k16_guarded,20,Current,108.8725887727172,108.82503955581203,108.91616344828032,116.4981300528996,116.47216659186849,116.52467222555353,5121.92,5043.84,5194.88,0.0,0.0,0.0,0.0,0.0,0.0,0.82002,0.8176100000000001,0.82248
net_benefit_conflict_v4,dispatcher_level_simulation,256,100.0,affinity_first,20,Current,196.60944524279256,196.58830304042377,196.63338941928967,201.54469332008583,201.50603079577425,201.58493074481902,32000.0,32000.0,32000.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
net_benefit_conflict_v4,dispatcher_level_simulation,256,100.0,exact_guarded,20,Current,108.89508888066973,108.8423801455345,108.9473656983536,116.47719706926554,116.45025332022276,116.50086194889796,5182.400000000001,5098.88,5258.240000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
net_benefit_conflict_v4,dispatcher_level_simulation,256,100.0,load_only,20,Current,108.86100915612978,108.80964892799027,108.91161443639469,116.49117346573657,116.46745395944362,116.51561582906002,5144.96,5077.4400000000005,5209.280000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
net_benefit_conflict_v4,dispatcher_level_simulation,256,100.0,sketch_k16_guarded,20,Current,108.84172927200169,108.79572406849277,108.88209243320391,116.5064335181566,116.48745481088694,116.52577899723899,5101.4400000000005,5042.240000000001,5160.64,0.0,0.0,0.0,0.0,0.0,0.0,0.8176,0.8157,0.81942
net_benefit_conflict_v4,dispatcher_level_simulation,1024,0.0,affinity_first,20,Current,77.422753139044,77.4119543569414,77.43618096057071,82.35674929219763,82.3231506343958,82.3902162973996,128000.0,128000.0,128000.0,1.0,1.0,1.0,0.01883,0.01811,0.019549999999999998,0.0,0.0,0.0
net_benefit_conflict_v4,dispatcher_level_simulation,1024,0.0,exact_guarded,20,Current,77.40865476972594,77.40375060110993,77.41519306855169,82.28174607991595,82.24714463592858,82.31398633765956,128000.0,128000.0,128000.0,0.98029,0.97967,0.98098,0.0049,0.00443,0.0054,0.019710000000000002,0.01906,0.02032
net_benefit_conflict_v4,dispatcher_level_simulation,1024,0.0,load_only,20,Current,108.53844601475389,108.47621212745399,108.60370547223235,116.50974590466808,116.48696302245898,116.53406105083968,20271.36,19924.480000000003,20602.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
net_benefit_conflict_v4,dispatcher_level_simulation,1024,0.0,sketch_k16_guarded,20,Current,78.17099728849364,78.14178920426255,78.20250202857179,112.42973271278107,112.25465238672909,112.59796772823788,108645.12000000001,108327.68000000001,108981.76000000001,0.80377,0.8011,0.80656,0.0042899999999999995,0.0039,0.00466,0.01604,0.01551,0.01662
net_benefit_conflict_v4,dispatcher_level_simulation,1024,10.0,affinity_first,20,Current,87.38857789185036,87.36374024636152,87.41212991219577,92.32060234230033,92.27940607013562,92.36620277616173,128000.0,128000.0,128000.0,1.0,1.0,1.0,0.11247,0.11086,0.11427,0.0,0.0,0.0
